city,population,include,migration_2020,unemployment_rate,median_income,median_age,summer_comfort_index,winter_comfort_index,cost_of_living_index,mean_commute_time,mean_school_expense,student_per_teacher,violent_crime_index,property_crime_index,sales_tax_rate,income_tax_rate,health_cost_index,water_quality_index,air_quality_index,white_percent,black_percent,asian_percent,native_american_percent,pacific_islander_percent,other_percent,multiple_percent,hispanic_percent,population_density,median_house_price
Indianola,3538,1,0.109,0.058,65898,45.1,9.3,5.4,1.33,40.6,9792,21.3,11.7,40.3,0.09,0,0.834,0.4,0.61,0.835,0.005,0.016,0.022,0.004,0.003,0.063,0.053,704,597600
Ione,377,1,0.354,0.092,48462,48.8,8.7,3.9,0.883,29.2,16988,14,12,36.6,0.076,0,0.795,0.6,0.92,0.938,0,0,0.005,0,0,0.045,0.012,905,257000
Issaquah,39057,1,0.28,0.051,88770,37.2,9.1,5.2,1.752,28.1,12865,20.9,7.8,42.9,0.1,0,0.817,0.6,0.59,0.647,0.03,0.203,0,0,0.001,0.034,0.085,3271,1057600
Jamestown,398,1,-0.452,0.074,63036,50.4,8.9,5.6,1.079,21.2,9087,19.4,15,45.4,0.084,0,0.803,0.6,0.86,0.858,0,0,0,0,0,0.024,0.118,528,339400
Junction City,11,0,1,0.088,,,8.6,5.2,0.912,25.8,11269,17.4,,,0.088,0,,,,1,0,0,0,0,0,0,0,,259000
Kahlotus,125,1,-0.072,0.07,36667,35,8.9,5.1,0.82,21.5,31183,5,10.4,32.2,0.086,0,0.795,0.2,0.83,0.878,0.033,0,0,0,0,0,0.088,456,125900
Kalama,2888,1,0.195,0.07,47563,43,9.1,4.8,1.12,25.6,9051,19.9,11.3,24.8,0.078,0,0.783,0.6,0.68,0.887,0,0,0.009,0,0,0.033,0.07,817,513000
Kapowsin,379,1,0.907,0.068,73750,48.2,9,5.2,1.061,31.2,10733,20.8,8.1,25.2,0.099,0,0.8,0.6,0.82,1,0,0,0,0,0,0,0,103,385600
Kayak Point,1468,0,0,0.063,,52.3,9.1,5.5,1.189,31.8,,,,,,,,,,,,,,,,,,,579400
Keller,207,1,-0.345,0.098,20625,29.5,9,4.2,0.814,22.2,39567,12.7,16,48.9,0.077,0,0.81,0.6,0.93,0.105,0,0,0.825,0.066,0,0.004,0,25,142400
Kelso,12566,1,-0.009,0.07,33492,36.3,9.1,5,0.986,20.9,9528,19.8,20.6,76,0.081,0,0.783,0.6,0.61,0.763,0.017,0.018,0.023,0.004,0,0.034,0.141,1543,341600
Kendall,930,1,-0.912,0.067,38409,27.9,9,4.7,1.176,21,11652,17.8,11.1,33.9,0.087,0,0.789,0.6,0.92,1,0,0,0,0,0,0,0,49,272300
Kenmore,23556,1,0.111,0.054,88472,39.6,9.3,5.5,1.702,33.4,11405,20.3,9.4,23.2,0.1,0,0.817,0.6,0.31,0.748,0.016,0.118,0.002,0.005,0,0.036,0.076,3758,923800
Kennewick,83082,1,0.121,0.058,51739,33.5,8.9,5.5,0.983,21.7,10526,20.3,16.3,43,0.086,0,0.807,0.33,0.67,0.647,0.02,0.021,0.004,0.001,0.004,0.033,0.269,3079,397200
Kent,134890,1,0.415,0.073,57490,34.1,9.3,5.4,1.372,31.7,9946,19.8,18.1,70.7,0.1,0,0.817,0.6,0.32,0.456,0.109,0.199,0.007,0.017,0.001,0.051,0.159,3874,594500
Kettle Falls,1617,1,0.012,0.08,42031,46.1,8.6,4.2,0.827,27.8,9489,19.9,13.5,29.2,0.076,0,0.804,0.6,0.89,0.882,0.003,0.008,0.026,0,0.004,0.038,0.039,1545,172900
Key Center,3408,1,0.269,0.068,62188,46.1,9.2,5.4,1.315,36.7,9358,20.8,10.6,36.3,0.079,0,0.8,0.6,0.74,0.899,0.003,0.002,0,0.007,0,0.047,0.042,282,476100
Keyport,270,1,0.419,0.058,82532,32.1,9.2,5.4,1.219,30.3,9792,21.3,9.2,29.3,0.09,0,0.834,0.4,0.67,0.921,0,0,0,0,0,0.015,0.063,949,558300
Kingston,2912,1,-0.033,0.058,54524,53.2,9.2,5.4,1.295,30.3,9792,21.3,11.3,35.3,0.09,0,0.834,0.4,0.64,0.868,0,0.02,0.006,0.001,0,0.088,0.018,1056,622000
Kirkland,91656,1,0.82,0.047,90611,38.2,9.3,5.5,1.792,27.5,15473,19.3,7.6,37.4,0.1,0,0.817,0.6,0.26,0.726,0.011,0.14,0.003,0.001,0.001,0.047,0.07,5359,1055900
Kittitas,1394,1,-0.05,0.071,44500,37,9.3,4.7,0.847,21.3,10328,19.1,9.7,20.8,0.08,0,0.803,0.6,0.9,0.803,0.006,0.008,0.01,0,0,0.009,0.164,1928,293700
Klickitat,282,1,0.02,0.064,31250,44.8,9,4.9,0.802,24.1,21627,10.4,12.2,38,0.07,0,0.803,0.47,0.86,0.76,0,0.05,0.14,0,0,0.05,0,412,177500
Krupp,35,1,0.762,0.071,31250,38.8,9,4.8,0.758,18.9,17259,11.3,16,48,0.079,0,0.827,0.5,0.89,0.865,0,0,0,0,0,0,0.135,87,177100
La Center,3471,1,0.184,0.062,71948,34.3,9.2,5,1.348,30.8,8482,22.6,8.4,25,0.077,0,0.776,0.47,0.67,0.874,0.017,0.02,0.007,0,0,0.01,0.071,1489,627100
La Conner,1061,1,-0.074,0.07,33977,53.3,9.2,5.6,1.064,25.4,16321,13.4,12.3,38.3,0.085,0,0.791,0.52,0.77,0.9,0,0.014,0.006,0,0,0.004,0.076,2395,383800
La Grande,270,1,0.639,0.068,80278,41.4,9,5.1,1.366,31.2,12757,18.8,8,24.6,0.099,0,0.8,0.6,0.89,1,0,0,0,0,0,0,0,30,877900
Lacey,52572,1,0.157,0.066,59885,35.1,9.2,5.2,1.102,26,9461,19.6,17.6,48.1,0.088,0,0.784,0.5,0.45,0.659,0.048,0.082,0.015,0.017,0.002,0.064,0.112,3193,467900
LaCrosse,387,1,0.063,0.048,35833,57.5,8.8,4.7,0.685,15.3,37829,5.5,11.2,34.2,0.078,0,0.825,0.27,0.9,0.981,0,0,0.006,0,0,0.003,0.009,363,124500
Lake Bosworth,980,1,0.416,0.063,84583,47.8,9.1,5.2,1.335,31.8,11193,20.8,9,27.8,0.103,0,0.801,0.53,0.71,1,0,0,0,0,0,0,0,207,550100
Lake Cassidy,2774,1,0.01,0.063,87422,41.4,9.1,5.3,1.432,34.2,10836,20.8,10.1,34.3,0.103,0,0.801,0.53,0.6,0.828,0,0.054,0,0,0,0.047,0.071,366,562200
Lake Cavanaugh,276,1,0.252,0.07,30625,65.4,8.9,5.4,1.855,25.4,13839,19.1,7.2,22.7,0.085,0,0.791,0.52,0.87,1,0,0,0,0,0,0,0,250,543800
Lake Forest Park,13529,1,0.053,0.054,90495,45.4,9.3,5.5,1.678,30.5,19740,20.8,7.9,31.9,0.1,0,0.817,0.6,0.25,0.783,0.014,0.084,0.001,0.002,0.002,0.06,0.054,3817,886200
Lake Goodwin,5019,0,0,0.063,,46.1,9.1,5.4,1.182,30.3,,,,,,,,,,0.925,0,0.005,0.008,0,0,0.02,0.042,,549700
Lake Holm,3293,1,-0.02,0.054,89412,50.7,9.1,5.2,1.481,31.6,11739,19.3,8.3,28.4,0.1,0,0.817,0.6,0.58,0.877,0,0.067,0.009,0,0,0.011,0.036,417,607300
Lake Ketchum,1373,1,0.444,0.063,62188,52.2,9.1,5.5,1.225,31.8,9575,20.9,6.8,20.4,0.103,0,0.801,0.53,0.73,0.817,0,0,0,0,0,0.011,0.172,464,495000
Lake Marcel-Stillwater,1465,1,-0.016,0.054,148047,50.7,9.1,5.3,1.423,29.1,10528,20.8,6.4,19.3,0.1,0,0.817,0.6,0.7,0.907,0,0,0,0,0,0.048,0.044,1021,636900
Lake McMurray,412,1,0.064,0.07,48889,60.8,8.9,5.4,1.183,25.4,11913,18.8,9.9,30.2,0.085,0,0.791,0.52,0.77,0.985,0.015,0,0,0,0,0,0,177,252800
Lake Morton-Berrydale,10709,1,0.156,0.054,92000,43,9.2,5.3,1.487,37,9946,19.8,10.6,34.3,0.1,0,0.817,0.6,0.55,0.833,0.009,0.025,0.008,0.003,0.002,0.036,0.085,974,523600
Lake Roesiger,835,1,0.932,0.063,69797,41.4,9.1,5.3,1.912,31.8,14334,22.7,9.6,30.1,0.103,0,0.801,0.53,0.84,0.913,0,0,0,0,0,0.065,0.021,181,682100
Lake Shore,7169,1,0.129,0.062,70093,41.6,9.3,5.3,1.225,27.8,9471,20,10.2,35,0.084,0,0.776,0.47,0.46,0.799,0.013,0.024,0.002,0.003,0,0.03,0.13,5020,473200
Lake Stevens,35135,1,0.153,0.065,70345,33.5,9.1,5.3,1.302,32.8,9502,22.2,14.3,30.9,0.091,0,0.801,0.53,0.52,0.772,0.013,0.039,0.003,0.004,0,0.046,0.123,3914,632100
Lake Stickney,14733,1,0.313,0.063,63359,32.9,9.2,5.4,1.175,30.7,10418,19.9,12.8,45,0.103,0,0.801,0.53,0.3,0.371,0.098,0.271,0.007,0.002,0.002,0.058,0.191,6818,494800
Lake Tapps,12570,1,0.161,0.068,103065,39.9,9.1,5.2,1.459,35.2,10797,20.4,10.8,35.4,0.099,0,0.8,0.6,0.57,0.864,0.004,0.021,0.001,0,0,0.051,0.058,1148,589100
Lakeland North,14161,1,0.024,0.054,70005,37.9,9.2,5.2,1.269,35.1,10279,18.8,12.7,41.6,0.1,0,0.817,0.6,0.25,0.572,0.089,0.106,0.008,0.014,0.002,0.047,0.163,4024,412300
Lakeland South,12696,1,0.246,0.054,77554,38.5,9.2,5.3,1.26,29.9,10279,18.8,11.8,39,0.1,0,0.817,0.6,0.28,0.686,0.04,0.062,0.041,0.01,0.003,0.038,0.12,3012,441300
Lakeview,1449,1,0.212,0.071,41250,52.3,9.1,4.8,0.837,18.9,13789,15.2,12.4,38.1,0.079,0,0.827,0.5,0.91,0.706,0,0,0,0,0,0,0.294,831,197800
Lakewood,62972,1,0.007,0.078,44667,36,9.3,5.5,1.193,28.1,18279,19,36.2,62.9,0.099,0,0.8,0.6,0.47,0.508,0.112,0.088,0.017,0.029,0.001,0.082,0.161,3568,459500
Lamont,105,1,-0.36,0.048,38036,42.5,8.9,4.6,0.736,15.3,24741,8.4,10.4,31.8,0.078,0,0.825,0.27,0.9,1,0,0,0,0,0,0,0,248,102300
Langley,1194,1,0.256,0.065,46250,59.5,9.1,5.7,1.36,27.8,11223,19,9.1,64.1,0.087,0,0.754,0.2,0.75,0.839,0.007,0.035,0.039,0,0,0.031,0.049,1139,677800
Larch Way,4030,1,0.154,0.063,87119,36.4,9.2,5.4,1.449,27.9,10150,20.6,11.1,38.6,0.103,0,0.801,0.53,0.34,0.492,0.008,0.404,0,0,0,0.03,0.065,3989,716100
Latah,180,1,-0.041,0.063,42917,49.8,8.9,4.3,0.888,21.5,14319,14.9,10,30.2,0.081,0,0.82,0.38,0.88,0.852,0,0,0.035,0,0,0.049,0.063,584,317300
Leavenworth,2395,1,-0.251,0.059,37348,45.9,9,3.4,1.294,19.4,10119,18.7,11.4,35.4,0.082,0,0.806,0.59,0.97,0.84,0,0.027,0.009,0,0,0.034,0.09,1769,619100
Lebam,120,1,-0.348,0.082,52734,59.3,8.6,5,0.849,19.3,19359,14.2,10,31.5,0.081,0,0.8,0.5,0.94,1,0,0,0,0,0,0,0,76,230800
Lewisville,2414,1,-0.26,0.062,71616,51.3,9.2,5.1,1.405,37.3,9498,19.3,7.2,21.7,0.084,0,0.776,0.47,0.69,0.959,0,0,0.003,0,0,0,0.038,301,612500
Liberty Lake,11647,1,0.303,0.063,71898,35.3,9.3,4.2,1.156,19.5,9192,18.6,8,25.7,0.088,0,0.82,0.38,0.78,0.897,0,0.036,0.003,0,0,0.033,0.032,1861,567400
Lind,486,1,0.203,0.055,48636,33.8,9,4.9,0.709,17.8,21477,12,11.6,35.8,0.077,0,0.81,0.28,0.89,0.854,0,0,0.009,0,0,0.039,0.098,500,162900
Lochsloy,2937,1,0.315,0.063,75461,44.3,9.1,5.3,1.324,33.1,9502,22.2,10.2,35,0.103,0,0.801,0.53,0.72,0.849,0,0.006,0.039,0,0,0.066,0.04,461,450200
Lofall,2066,1,-0.133,0.058,64531,49.6,9.2,5.4,1.206,30.3,9792,21.3,8.3,25.3,0.09,0,0.834,0.4,0.68,0.895,0.021,0.009,0,0,0,0.006,0.07,1163,421500
Long Beach,1925,1,-0.142,0.082,24813,52.4,8.5,5.3,0.84,12,12133,19.2,9.4,46.1,0.081,0,0.8,0.5,0.85,0.8,0.001,0,0,0,0.005,0.031,0.162,1101,312100
Longbranch,4256,1,-0.063,0.068,51205,36.9,9.2,5.3,1.264,31.2,9358,20.8,12.8,43.6,0.079,0,0.8,0.6,0.75,0.871,0.004,0.021,0.011,0,0.002,0.069,0.02,175,559300
Longview,37542,1,0.004,0.072,37827,40.2,9.2,5,0.985,20.4,10335,19.1,26.5,74.6,0.081,0,0.783,0.6,0.54,0.797,0.008,0.019,0.009,0.003,0,0.053,0.111,2590,337500
Longview Heights,4377,1,0.059,0.07,60357,44.2,9.2,5,1.041,24.6,10335,19.1,12.4,42.7,0.081,0,0.783,0.6,0.67,0.882,0,0.011,0,0,0,0.035,0.072,946,309000
Loomis,35,1,-0.25,0.079,9569,67.2,9.2,3.7,0.818,17.2,10039,18.1,11.6,34.8,0.081,0,0.825,0.6,0.94,0.838,0,0,0,0,0,0,0.162,140,275300
Loon Lake,809,1,0.047,0.08,47500,59.1,8.9,3.8,1.035,27.8,9860,28.7,10.3,31.5,0.076,0,0.804,0.6,0.85,0.923,0,0,0.02,0,0,0.018,0.038,256,430400
Lower Elochoman,427,1,0.72,0.074,53523,68.5,9,5,1.114,0,12030,18.3,6.2,19,0.076,0,0.793,0.6,0.9,1,0,0,0,0,0,0,0,119,317800
Lyle,269,1,0.036,0.064,38355,40.9,9.1,4.4,0.94,24.1,11296,15.9,14.7,44.9,0.07,0,0.803,0.47,0.86,0.635,0,0.011,0,0,0,0,0.354,839,423700
Lyman,348,1,-0.015,0.07,62222,37.7,9,5.2,1.065,25.4,13839,19.1,10.7,32.5,0.097,0,0.791,0.52,0.93,0.913,0.002,0,0.013,0,0,0.04,0.031,708,376400
Lynden,15410,1,0.162,0.067,59021,39.8,9.1,5.1,1.187,22.8,8891,21.3,8.2,20.7,0.087,0,0.789,0.6,0.75,0.87,0.003,0.028,0.001,0.001,0.004,0.02,0.073,2853,562000
Lynnwood,38812,1,0.048,0.07,50562,39.6,9.2,5.4,1.376,31.3,10150,20.6,15,88.9,0.104,0,0.801,0.53,0.33,0.549,0.071,0.171,0.004,0.006,0.001,0.065,0.133,4996,696100
Mabton,2198,1,0.246,0.072,35129,25.4,8.8,5.4,0.893,27.8,10360,18.3,12.8,27,0.079,0,0.813,0.53,0.91,0.057,0,0.007,0,0,0,0.002,0.935,2735,245100
Machias,1239,1,-0.179,0.063,81477,41.5,9.1,5.3,1.194,31.8,14334,22.7,9.8,29.4,0.103,0,0.801,0.53,0.58,0.9,0,0.02,0.034,0,0,0.007,0.04,391,489500
Malden,197,1,0.743,0.048,33864,50.1,8.9,4.5,0.702,15.3,16650,11.1,71.2,49.1,0.078,0,0.825,0.27,0.9,0.98,0,0,0.02,0,0,0,0,302,127000
Malo,26,0,0.412,0.098,,14.3,8.9,3.8,0.866,22.2,13289,13.2,12.7,38.9,0.077,0,0.81,0.6,0.94,0.222,0,0.778,0,0,0,0,0,627,280200
Malone,303,1,0.223,0.088,43786,34.6,9,5,1.029,25.8,10842,19.6,12.4,36.9,0.088,0,0.833,0.52,0.89,0.956,0,0,0,0,0,0.044,0,64,327800
Malott,654,1,0.631,0.079,21875,37.2,8.9,3.9,0.831,17.2,10688,19.4,15.4,46.9,0.081,0,0.825,0.6,0.92,0.333,0.02,0,0,0,0,0.003,0.644,331,135300
Maltby,11458,1,-0.019,0.063,107535,44.2,9.1,5.3,1.615,32.2,9437,23.6,10,32.6,0.103,0,0.801,0.53,0.51,0.874,0,0.049,0.003,0,0.001,0.024,0.049,639,770200
Manchester,5928,1,0.089,0.058,67241,37.9,9.3,5.4,1.283,40.2,9383,20.8,12.8,44.4,0.09,0,0.834,0.4,0.61,0.761,0.006,0.061,0.019,0.014,0,0.074,0.066,1959,439300
Mansfield,331,1,-0.058,0.059,44844,52.9,9.1,4,0.806,18.2,20126,6.2,9.7,30,0.078,0,0.81,0.6,0.95,0.972,0,0.003,0.012,0,0,0,0.012,1034,211200
Manson,1294,1,0.182,0.059,39022,39.1,9.1,4.5,1.215,18.6,11801,17.4,13.5,41,0.082,0,0.806,0.59,0.97,0.433,0,0,0,0.021,0,0,0.546,1264,554300
Maple Falls,239,1,-0.848,0.067,32330,72.2,8.9,4.5,0.925,21,11652,17.8,9.5,29.9,0.087,0,0.789,0.6,0.92,1,0,0,0,0,0,0,0,33,410400
Maple Heights-Lake Desire,3370,1,0.149,0.054,104318,46.1,9.1,5.2,1.501,29.1,9262,21.8,9,30.6,0.1,0,0.817,0.6,0.55,0.786,0.038,0.118,0,0,0,0.046,0.012,898,652900
Maple Valley,27643,1,0.21,0.052,97809,35.8,9.1,5.2,1.494,38.8,9262,21.8,10.7,23,0.086,0,0.817,0.6,0.61,0.794,0.016,0.054,0.005,0.001,0.001,0.072,0.056,4588,736700
Maplewood,5636,1,0.046,0.068,88077,48.9,9.3,5.4,1.462,33.6,9358,20.8,10,34.1,0.079,0,0.8,0.6,0.65,0.9,0.01,0.047,0,0,0,0.022,0.021,696,580600
Marblemount,167,0,-1,0.07,24783,,9,3.9,0.958,25.4,13434,17.9,,,,,,,,,,,,,,,,,297200
Marcus,158,1,0.477,0.08,34167,59.7,8.6,4.2,0.786,27.8,9489,19.9,10,30.5,0.076,0,0.804,0.6,0.89,0.847,0,0.011,0.011,0,0,0.095,0.037,771,142800
Marietta-Alderwood,3702,1,0.088,0.067,44444,38.4,9.1,5.4,1.148,21,10143,19.9,13.7,48,0.087,0,0.789,0.6,0.64,0.875,0.001,0.059,0.014,0.009,0,0.003,0.038,833,421000
Markham,144,1,3.667,0.088,100329,41.1,8.6,5.2,0.916,25.8,12893,16.1,10.2,30.4,0.088,0,0.833,0.52,0.94,1,0,0,0,0,0,0,0,228,376100
Marrowstone,924,1,0.21,0.076,60647,50.1,9,5.7,1.202,23.5,10931,20.5,9.1,28.1,0.09,0,0.845,0.53,0.84,0.958,0,0.006,0,0,0,0.035,0,185,575100
Martha Lake,22251,1,0.188,0.063,77229,34.8,9.2,5.4,1.402,33.6,10150,20.6,12.6,42,0.103,0,0.801,0.53,0.33,0.648,0.046,0.148,0.006,0.01,0.001,0.058,0.083,4357,620500
Marysville,69957,1,0.144,0.07,64328,36,9.2,5.4,1.211,30.7,10836,20.8,11.3,49.2,0.091,0,0.801,0.53,0.48,0.748,0.01,0.07,0.006,0.005,0.002,0.047,0.111,3464,570600
Mattawa,3529,1,0.122,0.071,42212,21.5,8.7,5.5,0.936,18.9,10063,18.8,8.8,17.7,0.079,0,0.827,0.5,0.93,0.014,0,0.003,0,0,0,0,0.983,6936,415400
May Creek,747,1,-0.258,0.063,78500,57.6,8.9,4.8,1.032,31.8,9954,18.7,8.6,26.1,0.103,0,0.801,0.53,0.88,0.863,0,0.003,0,0,0,0.087,0.047,1107,230600
McChord AFB,3191,1,0.068,0.068,45833,22.2,9.3,5.5,1.126,31.2,18279,19,12.8,47.1,0.093,0,0.8,0.6,0.6,0.483,0.109,0.047,0.007,0.026,0,0.048,0.279,608,443200
McCleary,2181,1,0.22,0.088,49148,34.5,9,4.9,0.999,30.6,11987,16.5,5.5,9.8,0.088,0,0.833,0.52,0.85,0.874,0.004,0.003,0.01,0,0,0.053,0.056,892,347300
McKenna,498,1,0.526,0.068,71542,35.2,9.2,5.2,1.195,31.2,9953,19.8,8.7,27.3,0.079,0,0.8,0.6,0.76,0.714,0.01,0,0,0,0,0.03,0.246,973,377400
McMillin,1077,1,-0.131,0.068,85052,45.2,9.2,5.5,1.321,31.2,9377,20.7,7.7,23,0.099,0,0.8,0.6,0.64,0.892,0,0.021,0,0,0,0.065,0.022,1096,426700
Mead,7146,1,-0.03,0.063,59773,47.9,9.1,4,1.152,26.6,9200,20.6,11.4,39,0.081,0,0.82,0.38,0.61,0.954,0.001,0.002,0.001,0,0,0.019,0.023,1020,495700
Meadow Glade,2606,1,0.318,0.062,89803,42.2,9.2,5.1,1.444,26.8,9498,19.3,8.1,24.5,0.084,0,0.776,0.47,0.55,0.904,0.004,0.02,0.006,0,0.006,0.041,0.02,866,637700
Meadowdale,3065,1,0.074,0.063,83413,42.5,9.3,5.5,1.39,29.7,10150,20.6,11.5,39.4,0.103,0,0.801,0.53,0.45,0.734,0.049,0.086,0.002,0.011,0,0.045,0.074,3128,678700
Medical Lake,4832,1,0.02,0.063,46250,31.1,9.1,4,1.022,21.5,10126,19.2,10.3,21.8,0.081,0,0.82,0.38,0.78,0.824,0.002,0.028,0.006,0,0,0.104,0.036,1467,378700
Medina,2928,1,0.092,0.054,182308,46.7,9.4,5.7,4.506,21.8,14197,19.5,6.1,33.3,0.1,0,0.817,0.6,0.28,0.701,0.006,0.197,0,0,0.006,0.06,0.03,2305,4142200
Mercer Island,25506,1,0.107,0.054,125651,45.5,9.5,5.6,2.827,23.7,11519,20.1,6.2,28.5,0.1,0,0.817,0.6,0.36,0.724,0.018,0.188,0,0.001,0.004,0.035,0.03,4060,2145300
Mesa,729,1,-0.098,0.07,49688,25.7,9.2,5.3,1.106,21.5,13134,18.4,12,36.6,0.086,0,0.795,0.2,0.87,0.224,0,0,0,0,0,0,0.776,317,537700
Metaline,148,1,0.203,0.092,54861,49.5,8.7,3.6,0.84,29.2,16988,14,9.8,30.2,0.076,0,0.795,0.6,0.92,0.918,0,0,0.02,0.015,0,0.015,0.031,623,199500
Metaline Falls,247,1,-0.441,0.092,28125,52.9,8.7,3.5,0.829,29.2,16988,14,13.9,42.7,0.076,0,0.795,0.6,0.92,0.928,0,0,0.006,0,0,0,0.067,1226,220000
Methow,137,1,0.696,0.079,102990,45.5,8.9,4.5,0.918,17.2,13777,14.7,11.9,36.8,0.081,0,0.825,0.6,0.96,0.936,0,0,0,0,0,0,0.064,119,385600
Midland,9448,1,-0.085,0.068,42929,37.9,9.2,5.4,1.148,27.8,10682,18.2,15.9,55,0.099,0,0.8,0.6,0.4,0.419,0.099,0.115,0.019,0.009,0,0.052,0.287,3132,410900
Mill Creek,20665,1,0.127,0.063,88770,40.4,9.2,5.4,1.529,31.5,12507,21.3,9.9,32.3,0.104,0,0.801,0.53,0.32,0.687,0.017,0.194,0.004,0,0.002,0.051,0.046,4518,904200
Mill Creek East,25528,1,0.459,0.063,98998,34.5,9.2,5.4,1.477,36.8,12507,21.3,10.6,34.9,0.103,0,0.801,0.53,0.3,0.647,0.022,0.225,0,0.001,0,0.052,0.052,4957,735300
Millwood,1896,1,0.016,0.063,50337,40.4,9.2,4.1,0.981,21.5,10213,19.3,11,33.7,0.088,0,0.82,0.38,0.44,0.892,0.041,0.01,0.004,0.001,0.002,0.03,0.02,2588,351100
Milton,8501,1,0.11,0.068,67069,39,9.3,5.5,1.258,31.5,9498,19.8,11.4,49.1,0.099,0,0.8,0.6,0.32,0.819,0.031,0.028,0.002,0.009,0,0.036,0.075,3068,523100
Mineral,100,1,-0.119,0.07,32759,62.4,8.5,2.8,0.977,27.1,13797,18.4,13.9,40.9,0.078,0,0.796,0.6,0.9,0.943,0,0,0,0,0,0.057,0,315,343000
Minnehaha,11508,1,0.221,0.062,60417,35.2,9.4,5.5,1.146,23.3,9471,20,12.3,40.6,0.084,0,0.776,0.47,0.34,0.754,0.033,0.047,0.005,0.019,0,0.055,0.087,5788,393300
Mirrormont,4196,1,-0.06,0.054,104648,48,9.1,5.2,1.739,35,12865,20.9,9.2,31.3,0.1,0,0.817,0.6,0.73,0.939,0.003,0.036,0,0,0,0.016,0.006,379,877300
Moclips,43,0,-1,0.088,,,8.6,4.8,1.033,25.8,10834,17.5,,,,,,,,,,,,,,,,,433000
Monroe,19879,1,0.087,0.063,66649,33.3,9.1,5.3,1.317,30.4,9437,23.6,21.2,49.6,0.092,0,0.801,0.53,0.57,0.683,0.035,0.031,0.004,0.001,0.006,0.049,0.189,3375,652200
Monroe North,2037,1,0.064,0.063,112950,40.2,9.1,5.3,1.572,31.8,9437,23.6,6.8,20.4,0.103,0,0.801,0.53,0.6,0.873,0,0,0,0,0.009,0.026,0.091,789,706000
Montesano,4070,1,-0.006,0.088,60316,40.4,8.8,5.1,0.966,25.8,10480,19.4,10.4,26.9,0.088,0,0.833,0.52,0.87,0.799,0.005,0.024,0.023,0,0,0.027,0.121,393,339600
Morton,1193,1,-0.055,0.07,35721,36.7,9.1,4.9,0.914,27.1,13797,18.4,13.4,31.5,0.078,0,0.796,0.6,0.9,0.818,0,0,0.003,0,0,0.055,0.124,1481,348700
Moses Lake,24764,1,0.151,0.071,47914,31.9,9.2,4.9,0.882,16,11527,20,30.4,87.3,0.079,0,0.827,0.5,0.79,0.599,0.015,0.021,0.01,0,0.001,0.021,0.333,1347,333500
Moses Lake North,4796,1,-0.203,0.071,31048,28.6,9.2,4.9,0.772,18.9,11527,20,18.8,54.1,0.079,0,0.827,0.5,0.83,0.59,0.037,0.006,0.005,0.007,0,0.034,0.321,728,174500
Mossyrock,739,1,-0.164,0.07,38043,35.8,9,5,0.992,27.1,10671,17.2,10.4,26.1,0.078,0,0.796,0.6,0.87,0.651,0,0,0.003,0,0,0.058,0.287,1223,425400
Mount Vernon,34824,1,0.088,0.072,44404,34.7,9.1,5.5,1.17,24.1,11115,18.6,13,60.1,0.087,0,0.791,0.52,0.64,0.573,0.013,0.029,0.015,0.002,0.001,0.025,0.343,2951,517600
Mount Vista,9924,1,0.184,0.062,71906,41.4,9.3,5.2,1.242,22.9,9471,20,11.3,39.6,0.084,0,0.776,0.47,0.43,0.881,0.003,0.041,0.003,0,0.005,0.036,0.031,1768,449100
Mountlake Terrace,21210,1,0.046,0.063,61477,36.7,9.3,5.5,1.322,30.6,10150,20.6,10,40.3,0.103,0,0.801,0.53,0.27,0.648,0.063,0.12,0.004,0.012,0.001,0.049,0.104,5231,628900
Moxee,4303,1,0.362,0.072,56354,25.7,9.1,5.1,0.966,19.2,13639,18.7,9.4,14.3,0.079,0,0.813,0.53,0.86,0.422,0.004,0.009,0.035,0,0,0.021,0.509,1895,344300
